"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"Dataflows","5/14/2026, 5:45:00 PM","5/14/2026, 5:50:15 PM","5m 15s","SelectedFilesTrigger","Succeeded","","Original","","[]","1225dd53-7628-4b95-8a78-c006975d4325"
"Dataflows_with_trigger","5/14/2026, 5:45:00 PM","5/14/2026, 5:49:33 PM","4m 34s","SelectedFilesTrigger","Succeeded","","Original","","[]","73004f46-55be-423d-8227-5c7c1ac8bf6c"
"Dataflows_with_trigger","5/14/2026, 5:30:02 PM","5/14/2026, 5:35:15 PM","5m 13s","SelectedFilesTrigger","Succeeded","","Original","","[]","1d030cc8-10ca-4b8d-8ddf-484c080c015a"
"Dataflows","5/14/2026, 5:30:02 PM","5/14/2026, 5:35:43 PM","5m 42s","SelectedFilesTrigger","Succeeded","","Original","","[]","625bd0bc-b023-4782-9a2a-f2f70928a706"
"Dataflows","5/14/2026, 5:15:00 PM","5/14/2026, 5:20:13 PM","5m 14s","SelectedFilesTrigger","Succeeded","","Original","","[]","e3a5f63f-0622-4c2f-a7c7-a48ee893a97d"
"Dataflows_with_trigger","5/14/2026, 5:15:00 PM","5/14/2026, 5:20:03 PM","5m 3s","SelectedFilesTrigger","Succeeded","","Original","","[]","ea413d4b-6ba7-4bc3-b78b-6c24d06c0808"
"Dataflows_with_trigger","5/14/2026, 5:00:00 PM","5/14/2026, 5:05:14 PM","5m 14s","SelectedFilesTrigger","Succeeded","","Original","","[]","69591dee-209b-4723-bda6-7f2dd2b6a6bb"
"Dataflows","5/14/2026, 5:00:00 PM","5/14/2026, 5:04:53 PM","4m 54s","SelectedFilesTrigger","Succeeded","","Original","","[]","3eec6c97-bd22-4dee-b2da-17a66c6ece75"
"Dataflows_with_trigger","5/14/2026, 4:45:00 PM","5/14/2026, 4:51:14 PM","6m 14s","SelectedFilesTrigger","Succeeded","","Original","","[]","4871fb49-9984-4fd9-9747-8b7836abcaa9"
"Dataflows","5/14/2026, 4:45:00 PM","5/14/2026, 4:49:25 PM","4m 26s","SelectedFilesTrigger","Succeeded","","Original","","[]","44ca38be-4f89-4f87-b6f5-08f3f3e051a6"
"Dataflows_with_trigger","5/14/2026, 4:30:01 PM","5/14/2026, 4:35:15 PM","5m 14s","SelectedFilesTrigger","Succeeded","","Original","","[]","3af43cd2-5615-4b88-b6ca-c5944ae76917"
"Dataflows","5/14/2026, 4:30:01 PM","5/14/2026, 4:35:02 PM","5m 1s","SelectedFilesTrigger","Succeeded","","Original","","[]","83fd769f-dd83-4584-a9d7-26a828b444b7"
"Dataflows","5/14/2026, 4:15:00 PM","5/14/2026, 4:20:40 PM","5m 40s","SelectedFilesTrigger","Succeeded","","Original","","[]","9a1c5438-e0cd-448d-ae16-c121d151d3b0"
"Dataflows_with_trigger","5/14/2026, 4:15:00 PM","5/14/2026, 4:19:54 PM","4m 55s","SelectedFilesTrigger","Succeeded","","Original","","[]","284dd836-bf2a-499b-a38c-9fd16b1f3324"
"Dataflows_with_trigger","5/14/2026, 4:00:01 PM","5/14/2026, 4:04:50 PM","4m 50s","SelectedFilesTrigger","Succeeded","","Original","","[]","ac4119a3-8d03-4580-884e-adc3ba3cc5de"
"Dataflows","5/14/2026, 4:00:01 PM","5/14/2026, 4:04:52 PM","4m 52s","SelectedFilesTrigger","Succeeded","","Original","","[]","07e5e983-97ce-4ded-8cd2-578a6db5528f"
"Dataflows","5/14/2026, 3:45:00 PM","5/14/2026, 3:50:59 PM","5m 59s","SelectedFilesTrigger","Succeeded","","Original","","[]","113cfed4-004c-41b7-8de6-995b5f0fe411"
"Dataflows_with_trigger","5/14/2026, 3:45:00 PM","5/14/2026, 3:49:48 PM","4m 48s","SelectedFilesTrigger","Succeeded","","Original","","[]","0e2d0449-1f54-4cbb-970f-62a7c00a88c4"
"Dataflows","5/14/2026, 3:30:00 PM","5/14/2026, 3:35:04 PM","5m 4s","SelectedFilesTrigger","Succeeded","","Original","","[]","68fa4c0e-4397-4b01-95ba-aa5eccbc937f"
"Dataflows_with_trigger","5/14/2026, 3:30:00 PM","5/14/2026, 3:34:45 PM","4m 46s","SelectedFilesTrigger","Succeeded","","Original","","[]","18323a47-3005-4b38-881f-a9ce73c861f6"
"Dataflows_with_trigger","5/14/2026, 3:15:01 PM","5/14/2026, 3:19:56 PM","4m 55s","SelectedFilesTrigger","Succeeded","","Original","","[]","a2474909-35ca-4975-90a8-1c1fbbfe57da"
"Dataflows","5/14/2026, 3:15:01 PM","5/14/2026, 3:19:56 PM","4m 55s","SelectedFilesTrigger","Succeeded","","Original","","[]","c82dce46-0a1a-4c5c-a172-b693ecd3199c"
"Dataflows_with_trigger","5/14/2026, 3:00:01 PM","5/14/2026, 3:05:54 PM","5m 54s","SelectedFilesTrigger","Succeeded","","Original","","[]","9ae6095d-9770-46b0-b09c-f3e8e0492a2e"
"Dataflows","5/14/2026, 3:00:00 PM","5/14/2026, 3:04:56 PM","4m 56s","SelectedFilesTrigger","Succeeded","","Original","","[]","1e1e11ad-3fbb-428a-81f0-20eb2535eb7e"
"Dataflows","5/14/2026, 2:45:00 PM","5/14/2026, 2:49:52 PM","4m 52s","SelectedFilesTrigger","Succeeded","","Original","","[]","d2242012-99e7-4e7e-98aa-16d07520d3a0"
"Dataflows_with_trigger","5/14/2026, 2:45:00 PM","5/14/2026, 2:49:30 PM","4m 30s","SelectedFilesTrigger","Succeeded","","Original","","[]","dbfae340-9ac2-47c0-bf9e-513abdd1fa0b"
"Dataflows","5/14/2026, 2:30:00 PM","5/14/2026, 2:35:00 PM","5m 1s","SelectedFilesTrigger","Succeeded","","Original","","[]","e6c26d5e-e9aa-4495-9828-f29ef3641e5b"
"Dataflows_with_trigger","5/14/2026, 2:30:00 PM","5/14/2026, 2:34:54 PM","4m 55s","SelectedFilesTrigger","Succeeded","","Original","","[]","7cd80861-5f10-4c57-b0c6-3aae942197bf"
"Dataflows_with_trigger","5/14/2026, 2:15:00 PM","5/14/2026, 2:20:25 PM","5m 25s","SelectedFilesTrigger","Succeeded","","Original","","[]","a95d371d-fd1e-4d11-b3b0-1ac0eac8f232"
"Dataflows","5/14/2026, 2:15:00 PM","5/14/2026, 2:19:54 PM","4m 54s","SelectedFilesTrigger","Succeeded","","Original","","[]","d17ab481-0007-4661-a2ae-efa6997d3418"
"Dataflows","5/14/2026, 2:00:01 PM","5/14/2026, 2:05:08 PM","5m 8s","SelectedFilesTrigger","Succeeded","","Original","","[]","59ae419b-a491-4c5b-be2c-8d93af5fae79"
"Dataflows_with_trigger","5/14/2026, 2:00:00 PM","5/14/2026, 2:05:01 PM","5m 1s","SelectedFilesTrigger","Succeeded","","Original","","[]","7ffd7f17-d6e1-43dc-a686-31c0546f4160"
"Dataflows_with_trigger","5/14/2026, 1:45:00 PM","5/14/2026, 1:49:48 PM","4m 49s","SelectedFilesTrigger","Succeeded","","Original","","[]","c3c7e9b1-5635-41bc-b5cf-6e23a6bdee8e"
"Dataflows","5/14/2026, 1:45:00 PM","5/14/2026, 1:50:51 PM","5m 52s","SelectedFilesTrigger","Succeeded","","Original","","[]","8982eb3c-853d-4e2b-816a-534173dd8449"
"Dataflows_with_trigger","5/14/2026, 1:30:01 PM","5/14/2026, 1:36:21 PM","6m 21s","SelectedFilesTrigger","Succeeded","","Original","","[]","4c408bb8-3e58-4a6d-856c-3cbfb2e1bffc"
"Dataflows","5/14/2026, 1:30:00 PM","5/14/2026, 1:34:48 PM","4m 49s","SelectedFilesTrigger","Succeeded","","Original","","[]","1cfefb1e-5261-4550-8448-0ab709a2c73a"
"Dataflows_with_trigger","5/14/2026, 1:15:01 PM","5/14/2026, 1:19:59 PM","4m 59s","SelectedFilesTrigger","Succeeded","","Original","","[]","e3a9718c-3c35-4830-b032-3169252cf8ec"
"Dataflows","5/14/2026, 1:15:01 PM","5/14/2026, 1:19:58 PM","4m 57s","SelectedFilesTrigger","Succeeded","","Original","","[]","3243dbd7-37a0-4be6-9573-500a0dffb081"
"Dataflows_with_trigger","5/14/2026, 1:00:01 PM","5/14/2026, 1:05:14 PM","5m 14s","SelectedFilesTrigger","Succeeded","","Original","","[]","8589fda5-1abc-4117-8340-2e3a136ad07f"
"Dataflows","5/14/2026, 1:00:00 PM","5/14/2026, 1:05:08 PM","5m 8s","SelectedFilesTrigger","Succeeded","","Original","","[]","eeae4e95-a833-4c31-837b-523ce49895d7"
"Dataflows_with_trigger","5/14/2026, 12:45:00 PM","5/14/2026, 12:50:52 PM","5m 52s","SelectedFilesTrigger","Succeeded","","Original","","[]","faa0b809-8ab0-41be-bcc7-d7aa39ae7856"
"Dataflows","5/14/2026, 12:45:00 PM","5/14/2026, 12:49:47 PM","4m 47s","SelectedFilesTrigger","Succeeded","","Original","","[]","d221e44b-587c-4b99-8c76-de3beb95cec4"
"Dataflows_with_trigger","5/14/2026, 12:30:00 PM","5/14/2026, 12:35:33 PM","5m 34s","SelectedFilesTrigger","Succeeded","","Original","","[]","2e693b03-00b2-4c15-8d65-aead1a7ba9ae"
"Dataflows","5/14/2026, 12:30:00 PM","5/14/2026, 12:35:28 PM","5m 29s","SelectedFilesTrigger","Succeeded","","Original","","[]","c72f73c6-677f-42d8-88f3-bd8c4894e003"
"Dataflows","5/14/2026, 12:15:01 PM","5/14/2026, 12:19:44 PM","4m 43s","SelectedFilesTrigger","Succeeded","","Original","","[]","fee2a717-233c-4e65-9c14-55ec2b32a2a4"
"Dataflows_with_trigger","5/14/2026, 12:15:01 PM","5/14/2026, 12:20:04 PM","5m 4s","SelectedFilesTrigger","Succeeded","","Original","","[]","59639052-d021-4fb1-a30d-eec4542ad6ac"
"Dataflows_with_trigger","5/14/2026, 12:00:00 PM","5/14/2026, 12:05:42 PM","5m 42s","SelectedFilesTrigger","Succeeded","","Original","","[]","3a51b472-98a3-43c2-9f3f-9e2c997479a7"
"Dataflows","5/14/2026, 12:00:00 PM","5/14/2026, 12:05:58 PM","5m 58s","SelectedFilesTrigger","Succeeded","","Original","","[]","8c706545-f8e9-4be3-9dcd-832048f91bfb"
"Dataflows_with_trigger","5/14/2026, 11:45:00 AM","5/14/2026, 11:49:36 AM","4m 37s","SelectedFilesTrigger","Succeeded","","Original","","[]","0b264e2e-78b0-4b2c-9e3a-ecd0e15c9526"
"Dataflows","5/14/2026, 11:45:00 AM","5/14/2026, 11:50:11 AM","5m 11s","SelectedFilesTrigger","Succeeded","","Original","","[]","a3c098dc-4000-44aa-90d4-df714bbb564f"
"Dataflows","5/14/2026, 11:30:01 AM","5/14/2026, 11:36:20 AM","6m 19s","SelectedFilesTrigger","Succeeded","","Original","","[]","ce805b95-d36e-4d79-b42d-0da89e3a8886"
"Dataflows_with_trigger","5/14/2026, 11:30:01 AM","5/14/2026, 11:35:56 AM","5m 56s","SelectedFilesTrigger","Succeeded","","Original","","[]","c670f9f5-387b-464e-9600-9cb670ce0fd7"
"Dataflows_with_trigger","5/14/2026, 11:15:01 AM","5/14/2026, 11:19:51 AM","4m 51s","SelectedFilesTrigger","Succeeded","","Original","","[]","75599422-53a2-4c3d-81eb-f6b906ab638d"
"Dataflows","5/14/2026, 11:15:00 AM","5/14/2026, 11:20:16 AM","5m 16s","SelectedFilesTrigger","Succeeded","","Original","","[]","13ae168c-b80a-493a-9483-4f89b464b929"
"Dataflows_with_trigger","5/14/2026, 11:00:01 AM","5/14/2026, 11:05:35 AM","5m 35s","SelectedFilesTrigger","Succeeded","","Original","","[]","1ea6ba0b-8b53-47f8-9ad2-b270006c605c"
"Dataflows","5/14/2026, 11:00:01 AM","5/14/2026, 11:05:44 AM","5m 44s","SelectedFilesTrigger","Succeeded","","Original","","[]","edf6641c-365a-4205-a50c-c8d5ac436fbd"
"Dataflows_with_trigger","5/14/2026, 10:45:01 AM","5/14/2026, 10:49:10 AM","4m 9s","SelectedFilesTrigger","Succeeded","","Original","","[]","27051b97-e537-437c-ad21-6199ece2498d"
"Dataflows","5/14/2026, 10:45:01 AM","5/14/2026, 10:50:33 AM","5m 33s","SelectedFilesTrigger","Succeeded","","Original","","[]","2dad7b04-ebbd-4935-b5f8-ff5fe62cdee7"
"Dataflows","5/14/2026, 10:30:01 AM","5/14/2026, 10:36:14 AM","6m 13s","SelectedFilesTrigger","Succeeded","","Original","","[]","ea47c741-1358-4bae-b477-773024a98f35"
"Dataflows_with_trigger","5/14/2026, 10:30:01 AM","5/14/2026, 10:34:41 AM","4m 41s","SelectedFilesTrigger","Succeeded","","Original","","[]","9a3bd181-ba25-46b9-940a-c1c722e5bb72"
"Dataflows_with_trigger","5/14/2026, 10:15:00 AM","5/14/2026, 10:19:42 AM","4m 42s","SelectedFilesTrigger","Succeeded","","Original","","[]","8740325d-2b55-4073-940d-f480bf8233c2"
"Dataflows","5/14/2026, 10:15:00 AM","5/14/2026, 10:20:21 AM","5m 21s","SelectedFilesTrigger","Succeeded","","Original","","[]","f9248bbf-e66f-4cb0-a3cb-c58392bb02fe"
